actual_mime,extension_mismatch,id,source_url,path,asset_type,width,height,bytes,download_status,production_status,recommended_section,quality_notes,sha256,provider_name,provider_category,source_pages
image/png,False,asset-5cfd146dba20,http://cluster.skysend.ru:6721/image.php?provider=1025,assets/originals/providers/provider-1025.png,provider-logo,150,150,8210,verified,approved-original,home.providers / providers.catalog,Логотип из действующего публичного каталога SkySend. Не увеличивать выше исходного разрешения; сохранить цвета и пропорции. Существование в каталоге не подтверждает доступность платежей.,855ac0aa3c0805794365c256418ef77710a2e7cc0ae5e7aa632ade0528c72244,Xsolla. Fantastic Fishing,Игры,providers.php
image/png,False,asset-6f4849680dce,http://cluster.skysend.ru:6721/image.php?provider=1026,assets/originals/providers/provider-1026.png,provider-logo,150,150,21816,verified,approved-original,home.providers / providers.catalog,Логотип из действующего публичного каталога SkySend. Не увеличивать выше исходного разрешения; сохранить цвета и пропорции. Существование в каталоге не подтверждает доступность платежей.,391acafb2e7a7964095ec1898852026c36ffbda6baa63b781bfd0b9443b4e565,Xsolla. PANZAR.RU,Игры,providers.php
image/png,False,asset-75363cf5b44e,http://cluster.skysend.ru:6721/image.php?provider=1033,assets/originals/providers/provider-1033.png,provider-logo,150,150,7217,verified,approved-original,home.providers / providers.catalog,Логотип из действующего публичного каталога SkySend. Не увеличивать выше исходного разрешения; сохранить цвета и пропорции. Существование в каталоге не подтверждает доступность платежей.,0d87a40635d94419c05a6c42830d107cb6d22a2cff5e3b59d3cd504a64771f97,Xsolla. Моя ферма,Игры,providers.php
image/png,False,asset-5fa55c3bc0d3,http://cluster.skysend.ru:6721/image.php?provider=1035,assets/originals/providers/provider-1035.png,provider-logo,150,150,7772,verified,approved-original,home.providers / providers.catalog,Логотип из действующего публичного каталога SkySend. Не увеличивать выше исходного разрешения; сохранить цвета и пропорции. Существование в каталоге не подтверждает доступность платежей.,1dd0e15ac3a4619210887371664985386d1c466f54954211eca69f6ea0a09b09,Xsolla. 9 Драконов,Игры,providers.php
image/png,False,asset-f14db523a435,http://cluster.skysend.ru:6721/image.php?provider=1038,assets/originals/providers/provider-1038.png,provider-logo,150,150,29047,verified,approved-original,home.providers / providers.catalog,Логотип из действующего публичного каталога SkySend. Не увеличивать выше исходного разрешения; сохранить цвета и пропорции. Существование в каталоге не подтверждает доступность платежей.,b766abfbc453d8f9a667d7256cb8194424066f0a69661a06e6e3d007fa2df003,Xsolla. Стальной легион,Игры,providers.php
image/png,False,asset-57a0b31c5580,http://cluster.skysend.ru:6721/image.php?provider=1074,assets/originals/providers/provider-1074.png,provider-logo,150,150,24424,verified,approved-original,home.providers / providers.catalog,Логотип из действующего публичного каталога SkySend. Не увеличивать выше исходного разрешения; сохранить цвета и пропорции. Существование в каталоге не подтверждает доступность платежей.,c7b42abafa6ec2173d280b7b1c8d36823d69c36277e4efe1553e8c3bba9124e9,Галактика знакомств. Galaxy,Социальные сети,providers.php
image/png,False,asset-ca9f4021a721,http://cluster.skysend.ru:6721/image.php?provider=1082,assets/originals/providers/provider-1082.png,provider-logo,150,150,19356,verified,approved-original,home.providers / providers.catalog,Логотип из действующего публичного каталога SkySend. Не увеличивать выше исходного разрешения; сохранить цвета и пропорции. Существование в каталоге не подтверждает доступность платежей.,52156aae055dc9ddbaf5567362994c03b6f3319d6b9b1d7fc879f9f95ad79f74,"МТС. Домашний интернет, телефония 11 или 13 знаков",Интернет,providers.php
image/png,False,asset-9719e3e1ca57,http://cluster.skysend.ru:6721/image.php?provider=1098,assets/originals/providers/provider-1098.png,provider-logo,150,150,3768,verified,approved-original,home.providers / providers.catalog,Логотип из действующего публичного каталога SkySend. Не увеличивать выше исходного разрешения; сохранить цвета и пропорции. Существование в каталоге не подтверждает доступность платежей.,6ff98024e0dcde370a81ec453bfb30f5265c9cd3e43608993dd8e2462a655d6d,Совкомбанк,Банки и кредиты,providers.php
image/png,False,asset-37763ed07c7f,http://cluster.skysend.ru:6721/image.php?provider=1134,assets/originals/providers/provider-1134.png,provider-logo,150,150,7354,verified,approved-original,home.providers / providers.catalog,Логотип из действующего публичного каталога SkySend. Не увеличивать выше исходного разрешения; сохранить цвета и пропорции. Существование в каталоге не подтверждает доступность платежей.,b01d67902561045d116e1dd1198acb8b839c2ca180ef2dbb3849213c08b22745,Win Mobile (К-телеком),Сотовая связь,providers.php
image/png,False,asset-dd5a9ec65735,http://cluster.skysend.ru:6721/image.php?provider=1148,assets/originals/providers/provider-1148.png,provider-logo,150,150,4257,verified,approved-original,home.providers / providers.catalog,Логотип из действующего публичного каталога SkySend. Не увеличивать выше исходного разрешения; сохранить цвета и пропорции. Существование в каталоге не подтверждает доступность платежей.,18f3802e6f3ed17d1dc7eb00a6e424ca6d149c753638ef0f999376c6b3bf7a6a,Градострой ООО,ЖКХ,providers.php
